WBS #,Name / Title,Type,Start Date,End Date,Estimated Hours,Actual Hours,Percent Complete,Resources,Predecessors,Notes,Comments,Task Color
,Analysis Phase,,05-04-20 8:00,5/23/20 11:30 AM,,,,,,,,
,Planning,,05-04-20 8:00,5/14/20 11:30 AM,,,,,,,,
,Analysis,,5/14/20 11:30 AM,5/17/20 11:30 AM,,,,,,,,
,User story,,5/14/20 11:30 AM,5/17/20 11:30 AM,,,,,,,,
,Requirement Analysis,,5/14/20 11:30 AM,5/16/20 11:30 AM,,,,,,,,
,Leterature review,,5/14/20 11:30 AM,5/23/20 11:30 AM,,,,,,,,
,Stuttered Speech Detection,,5/14/20 11:30 AM,5/16/20 11:30 AM,,,,,,,,
,Research on ML model,,5/16/20 11:30 AM,5/18/20 11:30 AM,,,,,,,,
,Research on features,,5/18/20 11:30 AM,5/20/20 11:30 AM,,,,,,,,
,Research on training model,,5/20/20 11:30 AM,5/21/20 11:30 AM,,,,,,,,
,Research on Framework,,5/21/20 11:30 AM,5/22/20 11:30 AM,,,,,,,,
,Development Methodology,,5/22/20 11:30 AM,5/23/20 11:30 AM,,,,,,,,
,Define scope,,5/21/20 11:30 AM,5/22/20 11:30 AM,,,,,,,,
,Scope of ML,,5/21/20 11:30 AM,5/22/20 11:30 AM,,,,,,,,
,Scope of App,,5/21/20 11:30 AM,5/22/20 11:30 AM,,,,,,,,
,Sprint 1,,5/22/20 11:30 AM,06-11-20 11:30,,,,,,,,
,Review and fix analysis phase,,5/22/20 11:30 AM,5/25/20 11:30 AM,,,,,,,,
,Design,,5/25/20 11:30 AM,5/28/20 11:30 AM,,,,,,,,
,High system level design,,5/25/20 11:30 AM,5/26/20 11:30 AM,,,,,,,,
,Architecture Diagram,,5/25/20 11:30 AM,5/26/20 11:30 AM,,,,,,,,
,Select Hardware & Software,,5/25/20 11:30 AM,5/26/20 11:30 AM,,,,,,,,
,Mid Sem Checkpoint,,5/26/20 11:30 AM,5/27/20 11:30 AM,,,,,,,,
,UI Design,,5/27/20 11:30 AM,5/28/20 11:30 AM,,,,,,,,
,Coding,,5/28/20 11:30 AM,06-04-20 11:30,,,,,,,,
,Data preparation,,5/28/20 11:30 AM,5/30/20 11:30 AM,,,,,,,,
,Audio preprocessing,,5/30/20 11:30 AM,06-02-20 11:30,,,,,,,,
,Build neural network,,06-02-20 11:30,06-04-20 11:30,,,,,,,,
,Testing & Debug,,06-04-20 11:30,06-08-20 11:30,,,,,,,,
,Test audio preprocessing,,06-04-20 11:30,06-06-20 11:30,,,,,,,,
,Test neural network,,06-06-20 11:30,06-08-20 11:30,,,,,,,,
,Review,,06-08-20 11:30,06-11-20 11:30,,,,,,,,
,Prepare test report,,06-08-20 11:30,06-10-20 11:30,,,,,,,,
,Final presentation,,06-10-20 11:30,06-11-20 11:30,,,,,,,,
,Sprint 2,,06-11-20 11:30,6/29/20 11:30 AM,,,,,,,,
,Review and fix sprint 1,,06-11-20 11:30,6/14/20 11:30 AM,,,,,,,,
,Design,,6/14/20 11:30 AM,6/16/20 11:30 AM,,,,,,,,
,Diagram modeling,,6/14/20 11:30 AM,6/16/20 11:30 AM,,,,,,,,
,Coding,,6/16/20 11:30 AM,6/26/20 11:30 AM,,,,,,,,
,Build Neural Network,,6/16/20 11:30 AM,6/19/20 11:30 AM,,,,,,,,
,Train neural network,,6/19/20 11:30 AM,6/24/20 11:30 AM,,,,,,,,
,Intergrate with sprint1,,6/24/20 11:30 AM,6/26/20 11:30 AM,,,,,,,,
,Testing & debug,,6/26/20 11:30 AM,6/29/20 11:30 AM,,,,,,,,
,Unit testing,,6/26/20 11:30 AM,6/28/20 11:30 AM,,,,,,,,
,System testing,,6/28/20 11:30 AM,6/29/20 11:30 AM,,,,,,,,
,Review,,6/28/20 11:30 AM,6/29/20 11:30 AM,,,,,,,,
,Prepare test report,,6/28/20 11:30 AM,6/29/20 11:30 AM,,,,,,,,
,Sprint 3,,6/29/20 11:30 AM,7/15/20 11:30 AM,,,,,,,,
,Review & Fix sprint 2,,6/29/20 11:30 AM,6/30/20 11:30 AM,,,,,,,,
,Design,,6/30/20 11:30 AM,07-02-20 11:30,,,,,,,,
,prepare test plan,,6/30/20 11:30 AM,07-01-20 11:30,,,,,,,,
,refine diagram,,07-01-20 11:30,07-02-20 11:30,,,,,,,,
,Coding,,07-02-20 11:30,07-12-20 11:30,,,,,,,,
,Build Wavenet,,07-02-20 11:30,07-05-20 11:30,,,,,,,,
,Train wavenet,,07-05-20 11:30,07-10-20 11:30,,,,,,,,
,Evalutate wavenet,,07-10-20 11:30,07-12-20 11:30,,,,,,,,
,Testing & Debug,,07-12-20 11:30,7/14/20 11:30 AM,,,,,,,,
,Unit testing,,07-12-20 11:30,7/14/20 11:30 AM,,,,,,,,
,Review,,7/14/20 11:30 AM,7/15/20 11:30 AM,,,,,,,,
,Prepare testing report,,7/14/20 11:30 AM,7/15/20 11:30 AM,,,,,,,,
,Sprint 4,,7/15/20 11:30 AM,8/19/20 11:30 AM,,,,,,,,
,Review & Fix sprint3,,7/15/20 11:30 AM,7/18/20 11:30 AM,,,,,,,,
,Analysis,,7/18/20 11:30 AM,7/26/20 11:30 AM,,,,,,,,
,Research on app development,,7/18/20 11:30 AM,7/22/20 11:30 AM,,,,,,,,
,Research on deploying ML,,7/22/20 11:30 AM,7/26/20 11:30 AM,,,,,,,,
,Design,,7/26/20 11:30 AM,7/29/20 11:30 AM,,,,,,,,
,Diagram modeling,,7/26/20 11:30 AM,7/29/20 11:30 AM,,,,,,,,
,Coding,,7/29/20 11:30 AM,08-12-20 11:30,,,,,,,,
,Build App,,7/29/20 11:30 AM,08-05-20 11:30,,,,,,,,
,Deploy ML,,08-05-20 11:30,08-09-20 11:30,,,,,,,,
,Intergrate App and ML,,08-09-20 11:30,08-12-20 11:30,,,,,,,,
,Testing & Debug,,08-12-20 11:30,8/19/20 11:30 AM,,,,,,,,
,Unit Testing,,08-12-20 11:30,8/14/20 11:30 AM,,,,,,,,
,Integration Testing,,8/14/20 11:30 AM,8/16/20 11:30 AM,,,,,,,,
,System Testing,,8/16/20 11:30 AM,8/18/20 11:30 AM,,,,,,,,
,User acceptance testing,,8/18/20 11:30 AM,8/19/20 11:30 AM,,,,,,,,
